provider,group,ukpc,eupc,noneupc,fempc
Bishop_Grosseteste_University,cath,99.1202346,0.293255132,0.586510264,77.89046653
Canterbury_Christ_Church_University,cath,96.88195991,2.449888641,0.705270973,65.23998777
University_of_Chester,cath,93.8299055,1.111728738,5.058365759,68.01548205
University_of_Chichester,cath,95.50930997,1.971522453,2.409638554,63.07821699
University_of_Cumbria,cath,97.11815562,1.585014409,1.296829971,65.19396552
University_of_Gloucestershire,cath,94.63869464,1.709401709,3.651903652,59.34065934
Leeds_Trinity_University,cath,98.88475836,0.966542751,0.148698885,57.4302401
Liverpool_Hope_University,cath,95.87155963,2.981651376,1.146788991,65.4353562
Newman_University,cath,99.52830189,0.471698113,0,76.80140598
Roehampton_University,cath,88.41041999,3.561935141,8.02764487,62.38938053
St_Marys_University_Twickenham,cath,84.49502134,3.840682788,11.66429587,52.95698925
University_of_St_Mark_and_St_John,cath,98.47826087,0.869565217,0.652173913,54.66448445
University_of_Wales_Trinity_Saint_David,cath,96.82348211,2.211499799,0.965018094,57.28286583
University_of_Winchester,cath,94.9127907,1.671511628,3.415697674,65.00607533
York_St_John_University,cath,95.59082892,1.499118166,2.91005291,62.86279683
Queens_University_Belfast,russ,87.21825963,3.223965763,9.557774608,57.53991721
University_of_Birmingham,russ,80.63200815,3.098878695,16.26911315,57.90728477
University_of_Bristol,russ,81.28342246,4.743083004,13.97349454,54.89340272
University_of_Cambridge,russ,78.22878229,7.933579336,13.80073801,48.77002934
Cardiff_University,russ,86.59528908,3.12633833,10.27837259,59.05699791
University_of_Durham,russ,76.48153894,3.599131244,19.91932982,53.59651247
University_of_Edinburgh,russ,67.0176149,9.435108322,23.54727678,61.48559344
University_of_Exeter,russ,78.70722433,5.457392082,15.83538358,53.65289256
University_of_Glasgow,russ,78.64678899,9.266055046,12.08715596,59.61771436
Imperial_College_of_Science_Technology_and_Medicine,russ,50.59973345,14.83784984,34.5624167,42.34908751
Kings_College_London,russ,60.26691641,14.82088504,24.93561227,63.37625179
University_of_Leeds,russ,81.75949834,4.168203615,14.05385467,58.68621064
University_of_Liverpool,russ,77.61797753,2.494382022,19.88764045,54.8055508
London_School_of_Economics_and_Political_Science,russ,46.09929078,13.56382979,40.33687943,55.55555556
University_of_Manchester,russ,66.54018627,8.192480166,25.26733356,56.17788731
Newcastle_University,russ,82.61988304,4.725146199,12.65497076,52.63726373
University_of_Nottingham,russ,84.45325167,2.846333994,12.70041434,54.07293559
University_of_Oxford,russ,83.98724083,5.996810207,10.01594896,50.86556169
Queen_Mary_University_of_London,russ,76.88519544,8.433364112,14.68144044,54.18935903
University_of_Sheffield,russ,75.67084079,5.008944544,19.29465883,53.35729456
University_of_Southampton,russ,81.43106457,8.307155323,10.2617801,52.37204954
University_College_London,russ,45.97014925,15.52238806,38.50746269,59.32407306
University_of_Warwick,russ,70.47568429,11.71937284,17.80494286,50.21344717
University_of_York,russ,85.33467878,3.901782711,10.76353851,55.5849306
