state,femsmoke,abort,pov,hsch,univ,urban,vrelig,cathpc
Alabama,19.7,12,17.5,82.1,22,59.04,77,7
Alaska,20.5,12,9,91.4,26.6,66.02,45,16
Arizona,14.3,15.2,16.5,84.2,25.6,89.81,53,21
Arkansas,21.9,8.7,18.8,82.4,18.9,56.16,70,8
California,10.2,27.6,14.2,80.6,29.9,94.95,49,28
Colorado,14.6,15.7,12.9,89.3,35.9,86.15,47,16
Connecticut,14.7,24.6,9.4,88.6,35.6,87.99,43,33
Delaware,16.6,40,10.8,87.4,28.7,83.3,52,22
District_of_Columbia,14.8,29.9,18.4,87.1,48.5,100,53,20
Florida,16.3,27.2,14.9,85.3,25.3,91.16,54,21
Georgia,15.5,19.2,16.5,83.9,27.5,75.07,66,9
Hawaii,13.9,22.6,10.4,90.4,29.6,91.93,47,20
Idaho,13.9,6,14.3,88.4,23.9,70.58,51,10
Illinois,16.7,20.5,13.3,86.4,30.6,88.49,51,28
Indiana,21.5,8.3,14.4,86.6,22.5,72.44,54,18
Iowa,14.8,11.3,11.8,90.5,25.1,64.02,55,18
Kansas,17.1,19.2,13.4,89.7,29.5,74.2,55,18
Kentucky,24.2,5.1,18.6,81.7,21,58.38,63,10
Louisiana,19.3,16.1,17.3,82.2,21.4,73.19,71,26
Maine,15.8,11.2,12.3,90.2,26.9,38.66,34,21
Maryland,13.8,29,9.1,88.2,35.7,87.2,54,15
Massachusetts,14,18.3,10.3,89,38.2,91.97,33,34
Michigan,18.2,18.4,16.2,87.9,24.6,74.57,53,18
Minnesota,14.9,12.5,11,91.5,31.5,73.27,49,22
Mississippi,19.8,4.6,21.9,80.4,19.6,49.35,77,4
Missouri,21.9,6.3,14.6,86.8,25.2,70.44,60,16
Montana,17.3,12.3,15.1,90.8,27.4,55.89,48,17
Nebraska,15,8.1,12.3,89.8,27.4,73.13,54,23
Nevada,21.3,25.9,12.4,83.9,21.8,94.2,49,25
New_Hampshire,14.3,12.3,8.5,91.3,32,60.3,33,26
New_Jersey,14.2,31.3,9.4,87.4,34.5,94.68,55,34
New_Mexico,16.1,15.5,18,82.8,25.3,77.43,57,34
New_York,16.8,37.6,14.2,84.7,32.4,87.87,46,31
North_Carolina,17.7,17.5,16.3,84.3,26.5,66.09,65,9
North_Dakota,17.9,11.2,11.7,90.1,25.8,59.9,53,26
Ohio,19.5,14.7,15.2,87.6,24.1,77.92,58,18
Oklahoma,24,9.9,16.2,85.6,22.7,66.24,66,8
Oregon,17.2,17.3,14.3,89.1,29.2,81.03,48,12
Pennsylvania,19.1,17,12.5,87.9,26.4,78.66,53,24
Rhode_Island,14.9,22.9,11.5,84.7,30.5,90.73,49,42
South_Carolina,19.3,8.1,17.1,83.6,24.3,66.33,70,10
South_Dakota,18.1,5.6,14.2,89.9,25.1,56.65,59,22
Tennessee,19.6,15.5,17.1,83.1,23,66.39,73,6
Texas,13.8,16.5,17.2,79.9,25.5,84.7,64,23
Utah,7.7,6.7,11.5,90.4,28.5,90.58,64,5
Vermont,15,12.5,11.4,91,33.1,38.9,34,22
Virginia,15.8,17.6,10.5,86.6,34,75.45,61,12
Washington,13.8,18.3,12.3,89.7,31,84.05,45,17
West_Virginia,23.6,6.6,17.7,82.8,17.3,48.72,69,6
Wisconsin,17.3,7.4,12.4,89.8,25.7,70.15,45,25
Wyoming,19.7,0.9,9.8,91.8,23.8,64.76,54,14
