area,region,totcrim,vioper,stalk,sex,theft,burgle,vehicle,shoplift,crimdam,drugs,weapons,pubord
Cleveland,1,119.1,45.9,19.0,3.9,30.3,7.1,5.1,8.5,16.1,4.1,1.0,13.3
Durham,1,88.0,38.6,18.0,3.0,18.8,4.0,3.3,5.1,13.4,2.1,0.5,8.8
Northumbria,1,87.8,32.6,12.1,3.0,21.7,3.9,4.1,5.3,12.7,2.3,0.7,11.8
Cheshire,2,81.6,37.9,17.0,3.1,15.1,3.1,2.4,3.7,7.4,1.7,0.3,14.1
Cumbria,2,65.4,29.0,10.4,2.8,12.2,2.7,1.4,3.1,9.0,2.1,0.5,8.3
Greater_Manchester,2,113.2,42.6,15.7,3.7,30.4,7.3,8.5,4.4,11.1,2.9,1.4,16.4
Lancashire ,2,85.2,37.2,13.4,3.0,21.7,5.1,4.3,4.3,10.6,2.0,0.9,7.1
Merseyside,2,101.3,41.1,14.4,2.8,20.9,4.9,4.5,4.2,10.2,8.6,0.8,13.8
Humberside,3,93.0,37.1,13.5,2.9,22.2,5.3,3.2,5.8,11.4,2.4,0.6,12.9
North_Yorkshire,3,52.2,21.9,6.3,2.2,12.6,2.5,1.7,3.4,6.5,2.2,0.4,5.1
South_Yorkshire,3,97.4,35.5,13.6,2.9,27.4,7.1,7.5,4.9,11.4,3.3,1.2,11.1
West_Yorkshire,3,114.0,48.7,20.6,3.6,25.7,5.4,5.9,5.3,11.6,3.7,1.0,15.8
Derbyshire,4,76.2,31.8,11.9,2.8,18.2,3.8,3.8,4.1,8.3,2.5,0.8,9.3
Leicestershire,4,83.2,33.2,13.2,3.4,19.7,3.5,4.8,3.0,9.0,3.3,0.7,11.2
Lincolnshire,4,66.1,26.8,9.6,2.7,17.9,3.8,2.8,5.0,7.8,2.1,0.7,6.2
Northamptonshire,4,81.1,36.1,12.8,3.6,19.6,3.9,5.0,3.6,7.8,2.6,1.0,7.5
Nottinghamshire,4,76.8,27.0,9.3,2.6,24.0,4.0,4.7,7.6,9.0,3.6,0.9,6.6
Staffordshire,5,59.8,27.3,11.8,2.4,15.9,2.7,3.4,3.9,7.0,1.1,0.5,4.0
Warwickshire,5,63.9,26.3,9.0,2.5,18.4,3.2,5.3,3.7,6.1,2.1,0.7,5.7
West_Mercia,5,59.9,25.9,9.4,2.7,15.9,3.5,2.8,4.1,6.3,1.9,0.6,5.0
West_Midlands,5,111.1,50.7,19.3,3.6,28.8,6.3,9.9,4.3,7.7,2.4,1.7,11.3
Bedfordshire,6,71.5,26.1,8.5,2.3,22.6,4.0,6.9,4.6,6.9,2.6,0.6,8.0
Cambridgeshire,6,73.2,27.5,8.5,2.7,21.5,3.7,4.6,3.4,7.8,2.3,0.7,7.9
Essex,6,83.3,37.0,15.2,3.1,20.0,3.3,5.7,4.1,7.6,3.3,0.6,9.1
Hertfordshire,6,60.6,21.7,5.5,1.9,21.8,2.9,6.0,5.4,6.0,2.3,0.5,4.6
Norfolk,6,72.2,33.6,12.1,3.1,12.7,2.2,1.8,2.9,7.7,2.7,0.6,9.0
Suffolk,6,63.4,27.2,8.6,3.2,14.5,2.6,3.1,3.3,6.8,2.3,0.5,7.1
Hampshire,7,77.1,31.9,10.1,3.1,18.9,4.0,4.4,4.2,7.5,2.9,0.9,9.9
Kent,7,91.7,42.6,15.4,3.4,20.1,3.5,4.4,5.0,11.1,2.3,0.6,7.8
Surrey,7,56.1,20.7,6.5,1.9,15.5,2.8,4.4,2.5,6.2,2.5,0.5,7.2
Sussex,7,65.2,24.7,7.7,2.7,17.3,2.5,3.9,4.2,7.4,2.6,0.8,7.5
Thames_Valley,7,68.2,25.3,8.7,2.5,20.0,2.9,5.1,3.7,6.5,2.9,0.5,8.8
Avon_and_Somerset,8,73.5,27.3,9.2,2.7,19.7,3.6,5.1,3.9,8.2,1.9,0.5,11.0
Devon_and_Cornwall,8,53.6,24.1,7.2,2.7,10.2,1.9,1.8,2.4,7.4,2.6,0.7,4.4
Dorset,8,62.3,24.1,7.7,2.6,19.2,3.6,4.8,3.2,8.3,1.6,0.4,5.0
Gloucestershire,8,63.1,26.3,9.3,2.5,16.4,3.4,3.1,3.9,7.3,2.3,0.4,5.8
Wiltshire,8,52.2,21.9,5.4,2.1,12.8,2.2,2.7,3.3,6.7,1.8,0.5,4.9
