student_id,age,exam_1,exam_2,exam_3
17970,18,64,76,90
13785,19,66,78,87
15457,19,64,75,89
13336,25,66,75,90
10990,23,68,76,87
14877,22,69,75,87
12433,25,69,72,89
12922,24,67,76,90
13031,18,71,77,89
16772,24,68,72,86
19317,20,68,73,86
16145,25,69,75,87
16237,21,69,74,88
10324,24,68,73,90
17453,25,65,75,88
16865,25,68,76,85
18518,25,66,74,87
12973,22,71,76,91
13047,19,66,72,85
12173,20,67,72,89
19179,22,68,77,86
16627,23,69,75,88
17982,21,68,72,91
10131,24,66,76,90
18236,25,69,76,86
13968,22,73,72,89
17939,19,70,77,86
11423,24,68,75,91
15556,23,69,72,87
10535,24,72,77,91
16169,18,69,75,89
17704,22,66,75,87
10030,23,72,75,88
18318,18,70,74,88
17036,23,63,75,88
11459,23,68,73,87
12333,23,68,73,85
11625,23,68,78,87
17363,22,71,73,87
18615,19,69,77,88
18121,20,68,75,85
11723,18,66,74,89
19383,24,63,74,88
10636,19,67,74,91
19923,25,70,75,86
13253,18,71,74,87
15341,21,68,77,85
10608,20,67,74,90
10120,18,68,73,88
14033,24,70,74,91
11024,18,69,75,85
18860,22,67,77,90
14846,20,70,76,89
16106,20,69,72,94
13729,19,70,72,86
17056,24,72,73,90
13616,20,70,77,91
17856,20,71,74,86
16052,20,69,75,89
14384,22,67,74,88
15002,18,67,77,89
14763,23,67,76,89
10027,24,68,74,85
15198,25,68,75,88
10421,20,68,74,91
14716,20,68,75,88
17075,23,70,75,87
10424,20,67,72,90
18582,24,66,75,87
18689,25,66,77,88
12622,25,64,74,87
16983,23,70,77,88
15989,21,68,77,90
19766,22,70,78,89
16716,20,73,74,87
10847,25,70,75,88
15616,21,68,75,86
17980,18,70,75,87
13229,25,70,76,88
18862,20,69,79,89
17248,25,66,79,87
13480,23,67,78,87
13716,21,69,74,89
16002,24,69,80,89
11966,18,70,76,85
11052,20,67,76,90
11015,23,67,73,88
15145,18,66,75,88
15378,18,68,78,87
11835,18,67,70,88
14736,20,68,76,88
14231,24,70,75,88
16611,24,69,77,89
19485,21,70,75,88
10070,19,68,75,86
14411,21,67,73,88
17281,20,68,75,85
11040,25,71,77,86
14227,23,67,74,85
10920,23,66,77,90
11631,20,70,72,87
18394,20,63,76,89
10406,18,66,76,85
12643,20,68,75,86
12774,22,66,76,86
11057,19,69,78,87
15366,18,69,76,88
15925,23,69,74,90
11325,24,67,76,90
10308,21,68,77,91
17912,22,66,76,91
17660,19,70,75,88
18369,21,69,73,86
15200,23,67,75,90
12875,25,70,74,86
10701,19,69,76,87
18713,18,68,73,86
18354,21,68,75,87
14384,20,70,75,90
19451,22,66,72,86
12991,18,64,74,89
11911,24,66,71,88
11340,18,67,75,89
16392,23,71,76,89
12305,25,67,74,85
18367,23,66,76,87
13500,24,66,76,85
19468,22,71,77,86
18734,24,69,76,86
19705,24,66,77,88
13354,20,66,76,93
14170,23,67,75,87
15942,19,70,73,87
14712,22,65,73,91
12400,23,67,75,91
13620,22,70,74,85
11912,21,67,76,89
11630,20,67,77,87
16212,20,65,74,90
15676,24,71,73,88
18033,24,72,74,91
13393,21,67,72,90
14213,20,69,75,88
19421,19,68,77,86
13150,22,67,73,87
19614,24,67,75,90
11387,24,71,74,85
16042,25,65,75,90
10343,22,67,70,86
16817,24,70,74,88
13512,19,70,74,85
10752,21,66,72,86
12037,21,69,76,85
17731,21,70,79,87
16300,23,67,76,87
13182,24,69,74,88
18231,21,69,77,88
14184,23,68,74,91
16020,25,67,78,91
15391,24,69,74,85
14936,21,69,77,86
15797,22,65,76,85
13195,25,67,77,89
14259,24,69,75,90
10428,18,68,71,85
19703,22,73,77,86
14591,21,67,80,87
10389,24,70,74,91
10709,19,69,73,88
17470,19,70,76,89
10440,24,73,78,89
10831,22,68,77,91
14086,19,65,74,89
15070,22,67,77,90
11390,20,68,76,87
16579,18,69,78,88
19375,21,63,75,88
15906,18,69,77,85
14180,25,68,78,89
19513,22,70,77,90
19152,24,66,73,89
11936,19,67,77,88
14398,21,66,78,91
17485,20,69,76,88
14432,21,65,76,90
15155,20,67,75,87
14065,22,70,72,90
17941,19,64,75,88
18157,20,69,75,89
15722,20,71,74,89
15740,21,68,74,92
12478,22,70,74,89
13363,20,67,73,89
12880,19,70,77,89
17119,25,65,75,85
11683,18,67,76,85
17003,24,68,77,87
15689,21,69,73,89
15648,21,69,80,88
18255,25,70,74,90
14686,23,70,77,89
14097,25,67,77,88
14005,23,66,78,85
14451,23,69,76,85
15448,21,73,80,88
14867,22,68,75,89
18854,23,70,79,89
17913,19,68,78,89
17538,19,68,75,89
16327,25,69,71,90
19513,21,67,73,90
13597,22,68,71,88
17614,20,72,77,88
12643,24,66,75,88
15911,18,66,79,85
17825,18,68,76,88
16833,20,65,78,89
17700,18,68,77,90
16203,25,70,73,87
12858,20,66,75,87
19172,21,65,76,89
15556,22,67,76,88
10411,25,73,74,88
19979,23,69,76,84
18820,22,70,75,87
15800,18,70,70,86
16365,23,70,75,90
13833,21,65,77,88
15789,24,67,74,85
19783,20,69,73,90
14843,24,71,75,86
17217,22,69,77,90
17937,22,67,80,89
11528,24,70,73,91
14521,18,67,75,87
18666,25,69,76,89
10628,20,67,75,87
12124,22,64,76,89
16694,22,66,73,90
