Outcome,Gender
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Female
No Arrest,Female
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
Arrest,Female
Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
Arrest,Male
Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Female
No Arrest,Female
No Arrest,Male
No Arrest,Male
No Arrest,Male
No Arrest,Male
